"year","avg_participation","per_person","total_benefits","all_other_costs","total_costs","population"
1969,2878,6.63,228.8,21.7,250.5,203211926
1970,4340,10.55,549.7,27.2,576.9,203211949
1971,9368,13.55,1522.7,53.2,1575.9,203211972
1972,11109,13.48,1797.3,69.4,1866.7,203211995
1973,12166,14.6,2131.4,76,2207.4,203212018
1974,12862,17.61,2718.3,119.2,2837.5,203212041
1975,17064,21.4,4385.5,233.2,4618.7,203212064
1976,18549,23.93,5326.5,359,5685.5,203212087
1977,17077,24.71,5067,394,5461,203212110
1978,16001,26.77,5139.2,380.5,5519.7,203212133
1979,17653,30.59,6480.2,459.6,6939.8,226545805
1980,21082,34.47,8720.9,485.6,9206.5,226545827
1981,22430,39.49,10629.9,595.4,11225.2,226545849
1982,21717,39.17,10208.3,628.4,10836.7,226545871
1983,21625,42.98,11152.3,694.8,11847.1,226545893
1984,20854,42.74,10696.1,882.6,11578.8,226545915
1985,19899,44.99,10743.6,959.6,11703.2,226545937
1986,19429,45.49,10605.2,1033.2,11638.4,226545959
1987,19113,45.78,10500.3,1103.9,11604.2,226545981
1988,18645,49.83,11149.1,1167.7,12316.8,226546003
1989,18806,51.71,11669.78,1231.81,12901.59,248709873
1990,20049,58.78,14142.79,1304.47,15447.26,248709906
1991,22625,63.78,17315.77,1431.5,18747.27,248709939
1992,25407,68.57,20905.68,1556.66,22462.34,248709972
1993,26987,67.95,22006.03,1646.94,23652.97,248710005
1994,27474,69,22748.58,1744.87,24493.45,248710038
1995,26619,71.27,22764.07,1856.3,24620.37,248710071
1996,25543,73.21,22440.11,1890.88,24330.99,248710104
1997,22858,71.27,19548.86,1958.68,21507.55,248710137
1998,19791,71.12,16890.49,2097.84,18988.32,248710170
1999,18183,72.27,15769.4,2051.52,17820.92,281421906
2000,17194,72.62,14983.32,2070.7,17054.02,281421933
2001,17318,74.81,15547.39,2242,17789.39,281421960
2002,19096,79.67,18256.2,2380.82,20637.02,281421987
2003,21250,83.94,21404.28,2412.01,23816.28,281422014
2004,23811,86.16,24618.89,2480.14,27099.03,281422041
2005,25628,92.89,28567.88,2504.24,31072.11,281422068
2006,26549,94.75,30187.35,2715.72,32903.06,281422095
2007,26316,96.18,30373.27,2801.21,33174.48,281422122
2008,28223,102.19,34608.4,3033.64,37642.04,281422149
2009,33490,125.31,50359.92,3261.58,53621.49,308745538
2010,40302,133.79,64702.16,3611.3,68313.47,308745565
2011,44709,133.85,71810.92,3904.59,75715.51,308745592
2012,46609,133.41,74619.46,3817.6,78437.06,308745538
